YYYYMMDD, C072, G072,TmeanDay_C
20020309,-9999,-9999,NA
20020310,-9999,-9999,NA
20020311,-9999,-9999,NA
20020312,-9999,-9999,NA
20020313,-9999,-9999,NA
20020314,-9999,-9999,NA
20020315,-9999,-9999,NA
20020316,-9999,-9999,NA
20020317,-9999,-9999,NA
20020318,-9999,-9999,NA
20020319,-9999,-9999,NA
20020320,-9999,-9999,NA
20020321,-9999,-9999,NA
20020322,-9999,-9999,NA
20020323,-9999,-9999,NA
20020324,-9999,-9999,NA
20020325,-9999,-9999,NA
20020326,-9999,-9999,NA
20020327,-9999,-9999,NA
20020328,-9999,-9999,NA
20020329,-9999,-9999,NA
20020330,-9999,-9999,NA
20020331,-9999,-9999,NA
20020401,-9999,-9999,NA
20020402,-9999,-9999,NA
20020403,-9999,-9999,NA
20020404,-9999,-9999,NA
20020405,-9999,70,7
20020406,-9999,61,6.1
20020407,-9999,75,7.5
20020408,-9999,89,8.9
20020409,-9999,61,6.1
20020410,-9999,15,1.5
20020411,-9999,5,0.5
20020412,-9999,43,4.3
20020413,-9999,25,2.5
20020414,-9999,26,2.6
20020415,-9999,26,2.6
20020416,-9999,64,6.4
20020417,-9999,82,8.2
20020418,-9999,65,6.5
20020419,-9999,94,9.4
20020420,-9999,120,12
20020421,-9999,123,12.3
20020422,-9999,125,12.5
20020423,-9999,126,12.6
20020424,-9999,158,15.8
20020425,-9999,141,14.1
20020426,-9999,97,9.7
20020427,-9999,85,8.5
20020428,-9999,88,8.8
20020429,-9999,74,7.4
20020430,-9999,108,10.8
20020501,-9999,53,5.3
20020502,-9999,35,3.5
20020503,-9999,28,2.8
20020504,-9999,48,4.8
20020505,-9999,48,4.8
20020506,-9999,46,4.6
20020507,-9999,58,5.8
20020508,-9999,71,7.1
20020509,-9999,72,7.2
20020510,-9999,63,6.3
20020511,-9999,66,6.6
20020512,-9999,116,11.6
20020513,-9999,129,12.9
20020514,-9999,136,13.6
20020515,-9999,185,18.5
20020516,-9999,187,18.7
20020517,-9999,129,12.9
20020518,-9999,91,9.1
20020519,-9999,147,14.7
20020520,-9999,153,15.3
20020521,-9999,139,13.9
20020522,-9999,97,9.7
20020523,-9999,83,8.3
20020524,-9999,118,11.8
20020525,-9999,79,7.9
20020526,-9999,64,6.4
20020527,-9999,70,7
20020528,-9999,97,9.7
20020529,-9999,74,7.4
20020530,-9999,113,11.3
20020531,-9999,184,18.4
20020601,-9999,173,17.3
20020602,-9999,137,13.7
20020603,-9999,113,11.3
20020604,-9999,100,10
20020605,-9999,70,7
20020606,-9999,69,6.9
20020607,-9999,78,7.8
20020608,-9999,73,7.3
20020609,-9999,98,9.8
20020610,-9999,104,10.4
20020611,-9999,174,17.4
20020612,-9999,163,16.3
20020613,-9999,228,22.8
20020614,-9999,195,19.5
20020615,-9999,179,17.9
20020616,-9999,224,22.4
20020617,-9999,222,22.2
20020618,-9999,142,14.2
20020619,-9999,124,12.4
20020620,-9999,114,11.4
20020621,-9999,162,16.2
20020622,-9999,171,17.1
20020623,-9999,114,11.4
20020624,-9999,93,9.3
20020625,-9999,120,12
20020626,-9999,144,14.4
20020627,-9999,-9999,NA
20020628,-9999,-9999,NA
20020629,-9999,-9999,NA
20020630,-9999,-9999,NA
20020701,-9999,-9999,NA
20020702,-9999,120,12
20020703,-9999,133,13.3
20020704,-9999,106,10.6
20020705,-9999,128,12.8
20020706,-9999,114,11.4
20020707,-9999,146,14.6
20020708,-9999,134,13.4
20020709,-9999,131,13.1
20020710,-9999,110,11
20020711,-9999,121,12.1
20020712,-9999,152,15.2
20020713,-9999,104,10.4
20020714,-9999,106,10.6
20020715,-9999,107,10.7
20020716,-9999,130,13
20020717,-9999,144,14.4
20020718,-9999,205,20.5
20020719,-9999,224,22.4
20020720,-9999,223,22.3
20020721,-9999,173,17.3
20020722,-9999,130,13
20020723,-9999,127,12.7
20020724,-9999,138,13.8
20020725,-9999,152,15.2
20020726,-9999,158,15.8
20020727,-9999,187,18.7
20020728,-9999,149,14.9
20020729,-9999,146,14.6
20020730,-9999,133,13.3
20020731,-9999,106,10.6
20020801,-9999,117,11.7
20020802,-9999,136,13.6
20020803,-9999,142,14.2
20020804,-9999,155,15.5
20020805,-9999,135,13.5
20020806,-9999,125,12.5
20020807,-9999,119,11.9
20020808,-9999,117,11.7
20020809,-9999,110,11
20020810,-9999,103,10.3
20020811,-9999,121,12.1
20020812,-9999,124,12.4
20020813,-9999,134,13.4
20020814,-9999,216,21.6
20020815,-9999,166,16.6
20020816,-9999,152,15.2
20020817,-9999,181,18.1
20020818,-9999,171,17.1
20020819,-9999,175,17.5
20020820,-9999,156,15.6
20020821,-9999,140,14
20020822,-9999,125,12.5
20020823,-9999,128,12.8
20020824,-9999,135,13.5
20020825,-9999,124,12.4
20020826,-9999,122,12.2
20020827,-9999,119,11.9
20020828,-9999,120,12
20020829,-9999,121,12.1
20020830,-9999,154,15.4
20020831,-9999,132,13.2
20020901,-9999,131,13.1
20020902,-9999,159,15.9
20020903,-9999,160,16
20020904,-9999,124,12.4
20020905,-9999,113,11.3
20020906,-9999,131,13.1
20020907,-9999,140,14
20020908,-9999,132,13.2
20020909,-9999,117,11.7
20020910,-9999,146,14.6
20020911,-9999,151,15.1
20020912,-9999,133,13.3
20020913,-9999,140,14
20020914,-9999,172,17.2
20020915,-9999,183,18.3
20020916,-9999,175,17.5
20020917,-9999,163,16.3
20020918,-9999,167,16.7
20020919,-9999,177,17.7
20020920,-9999,173,17.3
20020921,-9999,-9999,NA
20020922,-9999,-9999,NA
20020923,-9999,-9999,NA
20020924,-9999,-9999,NA
20020925,-9999,-9999,NA
20020926,-9999,-9999,NA
20020927,-9999,-9999,NA
20020928,-9999,-9999,NA
20020929,-9999,-9999,NA
20020930,-9999,-9999,NA
20021001,-9999,-9999,NA
20021002,-9999,-9999,NA
20021003,-9999,-9999,NA
20021004,-9999,-9999,NA
20021005,-9999,-9999,NA
20021006,-9999,-9999,NA
20021007,-9999,-9999,NA
20021008,-9999,-9999,NA
20021009,-9999,-9999,NA
20021010,-9999,-9999,NA
20021011,-9999,-9999,NA
20021012,-9999,-9999,NA
20021013,-9999,-9999,NA
20021014,-9999,-9999,NA
20021015,-9999,128,12.8
20021016,-9999,116,11.6
20021017,-9999,74,7.4
20021018,-9999,82,8.2
20021019,-9999,95,9.5
20021020,-9999,136,13.6
20021021,-9999,129,12.9
20021022,-9999,115,11.5
20021023,-9999,90,9
20021024,-9999,98,9.8
20021025,-9999,142,14.2
20021026,-9999,130,13
20021027,-9999,112,11.2
20021028,-9999,111,11.1
20021029,-9999,111,11.1
20021030,-9999,103,10.3
20021031,-9999,100,10
20021101,-9999,98,9.8
20021102,-9999,126,12.6
20021103,-9999,103,10.3
20021104,-9999,75,7.5
20021105,-9999,95,9.5
20021106,-9999,95,9.5
20021107,-9999,56,5.6
20021108,-9999,81,8.1
20021109,-9999,104,10.4
20021110,-9999,119,11.9
20021111,-9999,83,8.3
20021112,-9999,78,7.8
20021113,-9999,83,8.3
20021114,-9999,51,5.1
20021115,-9999,50,5
20021116,-9999,50,5
20021117,-9999,53,5.3
20021118,-9999,64,6.4
20021119,-9999,82,8.2
20021120,-9999,44,4.4
20021121,-9999,65,6.5
20021122,-9999,60,6
20021123,-9999,61,6.1
20021124,-9999,50,5
20021125,-9999,42,4.2
20021126,-9999,56,5.6
20021127,-9999,96,9.6
20021128,-9999,83,8.3
20021129,-9999,48,4.8
20021130,-9999,57,5.7
20021201,-9999,71,7.1
20021202,-9999,42,4.2
20021203,-9999,48,4.8
20021204,-9999,64,6.4
20021205,-9999,22,2.2
20021206,-9999,31,3.1
20021207,-9999,22,2.2
20021208,-9999,25,2.5
20021209,-9999,23,2.3
20021210,-9999,41,4.1
20021211,-9999,44,4.4
20021212,-9999,42,4.2
20021213,-9999,31,3.1
20021214,-9999,69,6.9
20021215,-9999,41,4.1
20021216,-9999,30,3
20021217,-9999,37,3.7
20021218,-9999,89,8.9
20021219,-9999,74,7.4
20021220,-9999,70,7
20021221,-9999,72,7.2
20021222,-9999,88,8.8
20021223,-9999,81,8.1
20021224,-9999,84,8.4
20021225,-9999,98,9.8
20021226,-9999,116,11.6
20021227,-9999,79,7.9
20021228,-9999,48,4.8
20021229,-9999,61,6.1
20021230,-9999,64,6.4
20021231,-9999,50,5
20030101,-9999,92,9.2
20030102,-9999,108,10.8
20030103,-9999,79,7.9
20030104,-9999,39,3.9
20030105,-9999,19,1.9
20030106,-9999,8,0.8
20030107,-9999,16,1.6
20030108,-9999,25,2.5
20030109,-9999,-17,-1.7
