YYYYMMDD, C072, G072,Pday_mm
20020701,-9999,-9999,NA
20020702,-9999,9,0.9
20020703,-9999,1,0.1
20020704,-9999,27,2.7
20020705,-9999,0,0
20020706,-9999,28,2.8
20020707,-9999,0,0
20020708,-9999,17,1.7
20020709,-9999,69,6.9
20020710,-9999,14,1.4
20020711,-9999,1,0.1
20020712,-9999,5,0.5
20020713,-9999,7,0.7
20020714,-9999,0,0
20020715,-9999,0,0
20020716,-9999,0,0
20020717,-9999,0,0
20020718,-9999,0,0
20020719,-9999,0,0
20020720,-9999,7,0.7
20020721,-9999,0,0
20020722,-9999,61,6.1
20020723,-9999,1,0.1
20020724,-9999,0,0
20020725,-9999,10,1
20020726,-9999,4,0.4
20020727,-9999,1,0.1
20020728,-9999,23,2.3
20020729,-9999,12,1.2
20020730,-9999,67,6.7
20020731,-9999,1,0.1
20020801,-9999,0,0
20020802,-9999,0,0
20020803,-9999,0,0
20020804,-9999,0,0
20020805,-9999,5,0.5
20020806,-9999,9,0.9
20020807,-9999,1,0.1
20020808,-9999,23,2.3
20020809,-9999,63,6.3
20020810,-9999,49,4.9
20020811,-9999,0,0
20020812,-9999,51,5.1
20020813,-9999,0,0
20020814,-9999,0,0
20020815,-9999,0,0
20020816,-9999,0,0
20020817,-9999,0,0
20020818,-9999,0,0
20020819,-9999,12,1.2
20020820,-9999,9,0.9
20020821,-9999,3,0.3
20020822,-9999,3,0.3
20020823,-9999,33,3.3
20020824,-9999,67,6.7
20020825,-9999,106,10.6
20020826,-9999,1,0.1
20020827,-9999,179,17.9
20020828,-9999,220,22
20020829,-9999,0,0
20020830,-9999,0,0
20020831,-9999,9,0.9
20020901,-9999,14,1.4
20020902,-9999,0,0
20020903,-9999,17,1.7
20020904,-9999,8,0.8
20020905,-9999,10,1
20020906,-9999,0,0
20020907,-9999,46,4.6
20020908,-9999,26,2.6
20020909,-9999,1,0.1
20020910,-9999,0,0
20020911,-9999,0,0
20020912,-9999,0,0
20020913,-9999,0,0
20020914,-9999,0,0
20020915,-9999,0,0
20020916,-9999,33,3.3
20020917,-9999,117,11.7
20020918,-9999,2,0.2
20020919,-9999,0,0
20020920,-9999,0,0
20020921,-9999,61,6.1
20020922,-9999,0,0
20020923,-9999,0,0
20020924,-9999,2,0.2
20020925,-9999,0,0
20020926,-9999,0,0
20020927,-9999,0,0
20020928,-9999,0,0
20020929,-9999,0,0
20020930,-9999,0,0
20021001,-9999,40,4
20021002,-9999,1,0.1
20021003,-9999,20,2
20021004,-9999,5,0.5
20021005,-9999,0,0
20021006,-9999,1,0.1
20021007,-9999,0,0
20021008,-9999,28,2.8
20021009,-9999,182,18.2
20021010,-9999,179,17.9
20021011,-9999,12,1.2
20021012,-9999,7,0.7
20021013,-9999,3,0.3
20021014,-9999,2,0.2
20021015,-9999,4,0.4
20021016,-9999,20,2
20021017,-9999,7,0.7
20021018,-9999,0,0
20021019,-9999,0,0
20021020,-9999,0,0
20021021,-9999,25,2.5
20021022,-9999,4,0.4
20021023,-9999,82,8.2
20021024,-9999,2,0.2
20021025,-9999,0,0
20021026,-9999,0,0
20021027,-9999,32,3.2
20021028,-9999,1,0.1
20021029,-9999,1,0.1
20021030,-9999,72,7.2
20021031,-9999,0,0
20021101,-9999,0,0
20021102,-9999,8,0.8
20021103,-9999,22,2.2
20021104,-9999,29,2.9
20021105,-9999,1,0.1
20021106,-9999,141,14.1
20021107,-9999,78,7.8
20021108,-9999,0,0
20021109,-9999,18,1.8
20021110,-9999,5,0.5
20021111,-9999,4,0.4
20021112,-9999,0,0
20021113,-9999,28,2.8
20021114,-9999,0,0
20021115,-9999,0,0
20021116,-9999,0,0
20021117,-9999,4,0.4
20021118,-9999,0,0
20021119,-9999,133,13.3
20021120,-9999,9,0.9
20021121,-9999,8,0.8
20021122,-9999,0,0
20021123,-9999,0,0
20021124,-9999,124,12.4
20021125,-9999,15,1.5
20021126,-9999,1,0.1
20021127,-9999,0,0
20021128,-9999,0,0
20021129,-9999,33,3.3
20021130,-9999,76,7.6
20021201,-9999,153,15.3
20021202,-9999,202,20.2
20021203,-9999,317,31.7
20021204,-9999,182,18.2
20021205,-9999,123,12.3
20021206,-9999,176,17.6
20021207,-9999,61,6.1
20021208,-9999,5,0.5
20021209,-9999,0,0
20021210,-9999,4,0.4
20021211,-9999,0,0
20021212,-9999,0,0
