"INDICATIVO","year","month","name_day","P_10mm","day"
"2017Y",2010,1,"P13",404,"013"
"2017Y",2010,1,"P14",90,"014"
"2017Y",2010,1,"P15",0,"015"
"2017Y",2010,1,"P16",22,"016"
"2017Y",2010,1,"P17",14,"017"
"2017Y",2010,1,"P18",36,"018"
"2017Y",2010,1,"P19",32,"019"
"2017Y",2010,1,"P20",0,"020"
"2017Y",2010,1,"P21",0,"021"
"2017Y",2010,1,"P22",6,"022"
"2017Y",2010,1,"P23",20,"023"
"2017Y",2010,1,"P24",12,"024"
"2017Y",2010,1,"P25",2,"025"
"2017Y",2010,1,"P26",0,"026"
"2017Y",2010,1,"P27",0,"027"
"2017Y",2010,1,"P28",0,"028"
"2017Y",2010,1,"P29",10,"029"
"2017Y",2010,1,"P30",20,"030"
"2017Y",2010,1,"P31",14,"031"
"2017Y",2010,2,"P1",18,"01"
"2017Y",2010,2,"P2",2,"02"
"2017Y",2010,2,"P3",0,"03"
"2017Y",2010,2,"P4",164,"04"
"2017Y",2010,2,"P5",2,"05"
"2017Y",2010,2,"P6",0,"06"
"2017Y",2010,2,"P7",0,"07"
"2017Y",2010,2,"P8",62,"08"
"2017Y",2010,2,"P9",2,"09"
"2017Y",2010,2,"P10",0,"010"
"2017Y",2010,2,"P11",0,"011"
"2017Y",2010,2,"P12",0,"012"
"2017Y",2010,2,"P13",0,"013"
"2017Y",2010,2,"P14",0,"014"
"2017Y",2010,2,"P15",0,"015"
"2017Y",2010,2,"P16",170,"016"
"2017Y",2010,2,"P17",154,"017"
"2017Y",2010,2,"P18",0,"018"
"2017Y",2010,2,"P19",0,"019"
"2017Y",2010,2,"P20",6,"020"
"2017Y",2010,2,"P21",118,"021"
"2017Y",2010,2,"P22",168,"022"
"2017Y",2010,2,"P23",170,"023"
"2017Y",2010,2,"P24",16,"024"
"2017Y",2010,2,"P25",288,"025"
"2017Y",2010,2,"P26",26,"026"
"2017Y",2010,2,"P27",184,"027"
"2017Y",2010,2,"P28",24,"028"
"2017Y",2010,2,"P29",NA,"029"
"2017Y",2010,2,"P30",NA,"030"
"2017Y",2010,2,"P31",NA,"031"
"2017Y",2010,3,"P1",8,"01"
"2017Y",2010,3,"P2",NA,"02"
"2017Y",2010,3,"P3",98,"03"
"2017Y",2010,3,"P4",0,"04"
"2017Y",2010,3,"P5",0,"05"
"2017Y",2010,3,"P6",22,"06"
"2017Y",2010,3,"P7",8,"07"
"2017Y",2010,3,"P8",0,"08"
"2017Y",2010,3,"P9",0,"09"
"2017Y",2010,3,"P10",0,"010"
"2017Y",2010,3,"P11",0,"011"
"2017Y",2010,3,"P12",0,"012"
"2017Y",2010,3,"P13",0,"013"
"2017Y",2010,3,"P14",0,"014"
"2017Y",2010,3,"P15",0,"015"
"2017Y",2010,3,"P16",0,"016"
"2017Y",2010,3,"P17",0,"017"
"2017Y",2010,3,"P18",0,"018"
"2017Y",2010,3,"P19",20,"019"
"2017Y",2010,3,"P20",10,"020"
"2017Y",2010,3,"P21",20,"021"
"2017Y",2010,3,"P22",2,"022"
"2017Y",2010,3,"P23",0,"023"
"2017Y",2010,3,"P24",116,"024"
"2017Y",2010,3,"P25",160,"025"
"2017Y",2010,3,"P26",28,"026"
"2017Y",2010,3,"P27",0,"027"
"2017Y",2010,3,"P28",0,"028"
"2017Y",2010,3,"P29",166,"029"
"2017Y",2010,3,"P30",6,"030"
"2017Y",2010,3,"P31",26,"031"
"2017Y",2010,4,"P1",8,"01"
