INDICATIVO,year,month,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31
9158A,2017,5,0,0,0,-3,4,-3,0,0,-4,-4,-4,100,-4,15,0,-4,-4,120,0,0,0,0,0,0,0,6,0,0,40,125,5
9158A,2017,6,10,70,90,200,9,14,0,49,0,0,0,0,0,0,0,0,0,0,77,0,0,10,0,0,93,0,-4,137,15,-3,NA
9158A,2017,7,0,0,0,0,6,30,0,-4,140,4,0,0,0,0,-4,5,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,0
9158A,2017,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,110,-4,390,93,0
9158A,2017,9,0,0,0,0,0,0,0,0,99,0,0,0,0,0,-4,-4,19,15,0,0,0,0,0,0,0,0,0,0,0,0,NA
9158A,2017,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,220,0,0,0,0,0,0,0,0,0,0,-4,50,0
9158A,2017,11,0,0,-4,-4,110,-4,-4,-4,-4,-4,-4,208,3,0,0,0,0,0,0,0,0,0,-4,-4,130,0,0,-4,29,0,NA
9158A,2017,12,-4,-4,235,0,0,0,0,-4,-4,132,-4,-4,-4,-4,-4,-4,-4,180,0,0,0,0,0,0,-4,-4,115,30,-3,0,20
9158A,2018,1,0,2,0,0,-4,-4,403,0,0,11,-4,74,-4,37,0,0,0,0,-4,-4,16,0,0,0,90,-4,190,0,0,0,0
9158A,2018,2,-4,-4,-4,260,-4,96,14,0,-4,-4,140,21,-4,62,0,0,-4,51,71,-4,85,0,0,0,0,0,-4,195,NA,NA,NA
9158A,2018,3,36,97,-4,-4,143,3,0,0,0,0,0,17,0,53,8,-4,-4,61,-4,200,0,-3,-4,-4,98,0,0,-4,-4,-4,80
9158A,2018,4,0,-4,-4,-4,-4,-4,-4,250,40,-4,-4,546,-4,-4,170,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
9158A,2018,5,0,108,0,0,0,-3,0,0,0,0,-4,-4,40,0,0,0,9,-4,-4,20,70,-3,92,-4,-4,-4,232,28,74,76,13
9158A,2018,6,-4,-4,-4,250,80,0,0,0,-4,35,10,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,580,0,NA
9158A,2018,7,0,0,0,20,0,0,-4,226,0,0,37,0,-4,-4,261,-3,-4,77,-4,144,0,0,0,0,0,0,0,0,0,0,0
9158A,2018,8,0,0,0,0,0,0,0,0,0,0,0,0,-4,-4,-4,-4,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9158A,2018,9,0,0,0,40,290,0,-4,-4,33,0,0,0,0,0,0,0,83,0,0,0,0,-4,5,0,0,0,0,0,0,0,NA
9158A,2018,10,0,0,0,0,0,-4,20,0,17,46,0,0,0,50,0,0,11,-3,-4,41,0,0,0,0,0,-4,-4,-4,-4,75,NA
9158A,2018,11,-4,-4,-4,-4,245,0,0,19,0,0,4,-3,0,0,0,-4,-4,-3,51,75,-4,30,-4,-4,58,0,0,0,54,0,NA
9158A,2018,12,0,2,2,0,0,0,0,0,0,0,0,-4,180,0,-4,60,5,0,-4,-4,5,0,0,0,0,0,0,0,0,0,0
9158A,2019,1,0,0,0,0,0,0,0,0,0,-3,0,5,0,0,0,-4,17,0,164,-4,5,241,-4,465,0,0,19,66,-4,-4,178
9158A,2019,2,-4,-4,381,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
9158A,2019,3,0,0,0,0,0,-4,-4,55,0,0,2,5,9,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,34
9158A,2019,4,1,0,18,0,-4,88,-4,10,62,8,5,0,0,0,72,0,-4,-4,-4,-4,380,0,-4,135,-3,0,0,0,0,0,NA
9158A,2019,5,0,0,-4,11,0,0,0,1,0,0,0,0,0,0,0,-4,-4,-4,430,2,0,0,30,3,0,0,0,0,0,0,0
9158A,2019,6,0,0,0,135,-4,32,0,70,0,0,22,0,0,0,0,0,0,0,0,248,0,0,0,0,0,0,0,0,0,0,NA
9158A,2019,7,0,0,50,0,0,0,1,80,3,0,0,0,95,0,0,25,3,0,0,0,-4,2,3,0,30,-4,172,0,0,0,0
9158A,2019,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,6,0,0,0,0,0,50,0,0,0,15,0
9158A,2019,9,0,0,0,0,1,0,0,0,-4,265,0,0,0,-4,145,40,55,1,0,-4,60,0,0,0,0,0,0,0,0,0,NA
9158A,2019,10,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,-4,-4,91,2,183,85,2,0,0,0,0,0,6,0
9158A,2019,11,-4,-4,28,8,-4,141,3,-4,-4,480,-4,178,76,85,-4,-4,144,10,0,0,-3,20,0,0,0,20,0,4,0,93,NA
9185,1929,8,0,0,0,0,0,0,0,23,0,23,27,0,0,0,0,5,0,7,132,0,0,0,0,0,0,0,0,0,0,0,0
9185,1929,9,0,0,0,0,57,0,0,0,44,313,0,40,23,0,28,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,NA
9185,1929,10,0,0,0,0,72,0,20,0,0,0,0,0,0,0,0,0,0,0,172,0,98,157,0,24,47,0,17,0,0,0,40
9185,1929,11,0,20,42,0,0,193,0,77,0,63,0,0,8,27,0,74,0,0,0,42,61,0,55,14,0,0,0,62,10,10,NA
9185,1929,12,0,0,78,0,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134,0,0,0,91,24,50,0,0,0,0
9185,1930,1,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,115,138,0,124,0,0,101
9185,1930,2,0,12,0,0,52,0,0,0,160,0,0,174,0,0,0,106,67,0,51,0,0,0,0,0,97,0,0,52,NA,NA,NA
9185,1930,3,65,0,0,0,0,0,0,0,92,60,101,223,20,34,0,47,0,0,0,97,0,167,94,29,35,112,354,35,98,0,0
9185,1930,4,0,82,12,21,31,30,28,0,0,0,0,0,0,104,147,166,0,0,0,72,0,167,94,29,35,112,354,35,98,0,NA
9185,1930,5,0,76,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201,0,0,0,0,96,0,0,289,0,0
9185,1930,6,201,25,0,297,43,0,0,0,0,0,105,0,64,43,0,0,0,26,74,0,190,0,0,92,0,0,0,12,0,0,NA
9185,1930,7,0,0,216,0,0,28,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9185,1930,8,0,0,0,0,0,0,0,0,0,0,17,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,20
9185,1930,9,60,0,0,0,0,0,0,0,0,46,114,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,NA
9185,1930,10,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,177,286,242,0,0,0,0,66,0,0,0,0,0,0,0
9185,1930,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,204,85,0,NA
9185,1930,12,260,0,0,0,0,0,0,0,95,61,0,82,188,187,0,0,0,0,0,0,0,0,44,0,0,0,0,46,0,0,0
9185,1931,1,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0
9185,1931,2,182,40,95,0,0,0,0,51,0,0,0,0,361,140,45,10,15,46,194,0,0,0,0,0,0,0,0,72,NA,NA,NA
9185,1931,3,69,0,0,0,0,0,69,120,20,30,52,55,0,0,144,0,0,0,0,0,0,0,286,50,0,0,0,0,78,0,0
9185,1931,4,0,320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,64,21,0,0,0,0,0,0,0,0,41,NA
9185,1931,5,132,0,42,33,0,0,0,0,0,0,0,0,0,0,46,104,0,0,58,0,0,0,0,0,0,19,0,0,74,51,0
9185,1931,6,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,21,56,0,0,0,79,0,0,NA
9185,1931,7,8,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151,0,0,0,0,0,0,0
9185,1931,8,71,0,31,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,0,0,0,0,0,0,0
9185,1931,9,0,0,0,0,0,0,0,142,0,0,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,NA
9185,1931,10,0,0,0,0,0,0,0,0,0,102,83,0,0,0,0,0,33,0,0,0,0,0,84,272,228,0,0,0,0,0,0
9185,1931,11,0,0,0,0,11,7,93,107,72,84,102,24,68,47,142,24,61,0,0,0,0,0,0,45,0,0,0,0,0,0,NA
9185,1931,12,0,0,0,0,0,0,104,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,60,22
9185,1932,1,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,0,0,0,0,0,0
9185,1932,2,0,0,0,0,0,0,0,0,42,56,21,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,129,NA,NA
9185,1932,3,0,0,0,0,0,0,0,0,0,0,0,67,0,0,42,104,136,0,0,0,0,0,0,0,166,114,0,92,0,0,35
9185,1932,4,0,0,64,57,54,0,0,0,0,0,0,15,0,0,51,0,74,0,0,0,0,0,43,83,0,0,0,11,0,0,NA
9185,1932,5,0,0,0,0,118,162,63,0,0,0,0,0,64,211,0,0,0,0,0,35,11,0,21,24,0,86,72,0,62,0,0
9185,1932,6,0,0,67,0,0,0,0,0,0,198,84,118,0,111,0,0,0,0,202,0,0,0,0,0,0,0,98,31,12,0,NA
9185,1932,7,0,0,0,0,0,0,0,0,0,0,-4,-4,-4,-4,-4,-4,-4,619,225,0,0,0,0,0,0,0,0,0,0,0,0
9185,1932,8,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,531,0,0,0,0,0,0,0,0,0,51,0,0,0,0,102
9185,1932,9,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,359,36,54,184,0,0,0,0,0,0,NA
9185,1932,10,0,0,0,74,0,0,0,0,101,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9185,1932,11,0,0,0,0,0,71,0,267,219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,472,NA
9185,1932,12,0,268,61,0,0,0,0,0,154,22,0,0,0,0,0,0,0,0,401,0,0,0,0,0,0,0,0,0,234,0,0
9185,1933,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,678
9185,1933,2,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,344,0,0,0,112,160,0,0,0,0,0,NA,NA,NA
9185,1933,3,0,181,146,124,0,195,0,0,0,0,121,0,209,0,0,0,0,0,0,0,0,0,0,0,0,86,41,0,0,0,0
9185,1933,4,0,0,0,0,0,0,0,0,0,0,0,0,41,0,93,0,102,86,0,101,145,0,0,0,0,0,0,0,0,0,NA
9185,1966,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,0,0,270,20,0,0,0,0,110,0,0,0,0,95,280,0
9185,1966,6,0,0,10,100,40,0,60,65,30,35,0,0,0,0,0,0,0,0,0,0,0,97,0,0,0,0,0,0,0,0,NA
9185,1966,7,0,180,0,0,0,0,0,0,305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9185,1966,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,0,0,15,0,0,20,0,0,0,0,0
9185,1966,9,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,70,0,0,NA
9185,1966,10,0,0,340,0,0,0,280,0,0,0,0,0,240,140,0,0,0,0,0,0,0,0,0,40,80,30,11,0,4,10,20
9185,1966,11,0,5,9,220,370,260,260,110,70,0,0,0,0,0,0,0,30,50,20,0,0,0,0,0,0,0,0,20,50,0,NA
9185,1966,12,0,0,0,-4,110,0,0,10,30,0,0,20,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9185,1967,1,0,0,0,0,0,0,0,20,0,60,0,0,0,0,0,0,0,0,0,0,80,-3,0,0,0,0,0,0,0,0,0
9185,1967,2,0,0,0,0,0,10,0,0,0,0,0,10,10,30,30,50,50,0,0,0,0,0,0,0,50,70,0,0,NA,NA,NA
9185,1967,3,0,0,0,0,50,0,0,320,0,0,0,0,0,0,0,0,0,20,10,0,0,0,0,0,0,0,0,20,10,30,10
9185,1967,4,20,0,0,0,0,0,0,280,30,50,0,30,50,0,0,0,0,0,0,0,20,0,0,0,0,10,0,20,0,0,NA
9185,1967,6,0,0,50,13,25,50,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
9185,1967,7,0,0,0,15,4,0,0,0,0,0,240,15,50,0,0,0,0,0,0,0,0,0,0,70,0,0,0,12,41,23,0
9185,1967,8,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153,0,0,0,0,0,0
9185,1967,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,41,NA
9185,1967,10,0,0,0,0,0,0,0,0,0,0,0,76,151,0,0,0,0,0,0,0,5,42,0,67,0,0,0,0,34,0,5
9185,1967,11,5,0,93,23,125,65,105,125,205,17,0,0,0,0,188,277,289,306,0,0,44,16,0,0,0,267,276,0,0,0,NA
9185,1967,12,167,0,0,0,0,0,0,0,40,40,0,0,0,0,0,0,0,0,0,0,0,0,-4,-4,-4,-4,-4,-4,-4,-4,430
9185,1968,1,0,4,0,7,3,0,0,4,0,37,0,40,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0
9185,1968,2,0,0,0,104,57,67,8,15,114,15,0,15,24,13,11,0,0,0,4,2,6,7,4,0,44,12,2,3,0,NA,NA
9185,1968,3,32,14,0,0,0,7,3,122,6,3,5,0,0,0,17,24,0,109,0,0,13,18,0,0,149,0,0,0,169,59,0
9185,1968,4,0,0,11,11,10,33,3,0,0,0,0,11,28,-3,0,0,0,0,0,0,173,291,43,0,31,0,16,40,17,0,NA
9185,1968,6,0,108,0,0,0,0,0,0,0,0,0,0,-3,31,15,0,23,0,0,0,0,31,0,0,0,0,0,0,0,0,NA
9185,1968,7,-3,0,0,0,0,0,0,0,151,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,241,0,0,0
9185,1968,8,0,-3,0,28,0,12,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,11,41,0,0
9185,1968,9,0,0,0,0,0,0,0,0,0,0,0,17,24,0,0,24,15,0,0,0,0,-3,13,69,0,0,0,0,0,0,NA
9185,1968,10,0,0,0,0,0,0,0,0,-3,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,-3,0,-3,-3,0,0,0
9185,1968,11,-3,0,0,-3,55,0,52,66,0,52,0,0,0,0,120,0,-3,0,0,0,0,0,0,0,0,0,98,65,0,0,NA
9185,1968,12,0,27,0,0,-3,-3,124,36,42,52,0,138,-3,-3,108,0,200,30,-3,0,0,0,0,-3,-3,20,-3,-3,0,0,0
9185,1969,1,0,0,0,30,0,25,0,0,34,0,-3,75,71,0,15,18,0,0,0,0,0,0,0,0,0,0,0,24,-3,-3,0
9185,1969,2,0,70,0,0,0,0,0,0,0,0,0,20,30,0,50,0,90,220,85,20,115,84,0,-3,20,0,0,70,NA,NA,NA
9185,1969,3,0,120,30,100,16,0,-3,0,0,0,0,37,74,140,9,112,5,100,0,0,7,13,19,0,0,20,10,50,0,0,0
9185,1969,4,0,55,50,0,273,40,32,-3,0,0,0,0,16,14,0,0,0,0,3,1,2,6,0,0,30,150,110,48,0,0,NA
9185,1969,5,0,145,69,57,0,32,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,87,13,37,0,40,0,0,0
9185,1969,6,20,0,0,0,0,-3,0,40,160,140,220,130,190,270,40,0,6,0,0,0,0,90,0,0,0,0,0,0,0,0,NA
9185,1969,7,80,0,0,220,0,6,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,120,0,0,0,9,0,0,0
9185,1969,8,0,0,0,0,25,0,0,31,4,0,0,0,0,0,-3,0,0,0,0,0,0,0,0,-3,0,0,0,-3,0,0,170
9185,1969,9,215,80,0,70,90,57,220,14,0,0,0,90,0,53,37,4,0,35,55,-3,0,0,0,0,0,0,0,0,0,0,NA
9185,1969,10,4,0,6,61,0,0,0,0,0,0,0,3,14,0,0,0,18,49,299,30,0,0,0,0,0,0,0,0,0,0,0
9185,1969,11,0,0,0,0,0,4,0,0,0,0,70,0,0,0,0,6,0,-3,0,10,6,150,-3,0,60,20,0,0,0,0,NA
9185,1969,12,0,80,106,90,0,60,180,0,0,0,0,0,0,0,6,7,8,4,6,0,10,62,30,19,260,70,30,0,40,0,0
9185,1970,1,0,0,42,186,61,-3,0,9,51,80,225,260,80,60,30,0,0,0,0,0,0,0,-3,10,30,160,120,0,-3,14,42
9185,1970,2,13,0,0,0,0,0,0,0,0,0,0,30,0,50,180,210,0,0,0,0,0,0,50,0,150,190,0,0,NA,NA,NA
9185,1970,3,0,30,70,20,0,0,0,0,40,0,0,0,20,40,50,0,0,50,0,0,30,15,0,0,0,0,0,0,0,5,32
9185,1970,4,20,0,0,0,0,0,0,20,0,0,13,0,0,0,0,0,0,0,32,15,0,0,0,0,0,20,30,110,0,0,NA
9185,1970,5,0,0,0,50,15,0,45,22,40,16,7,23,0,42,38,30,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9185,1970,6,0,0,0,0,86,-3,74,175,10,0,192,32,0,0,0,0,0,24,0,0,0,0,5,4,5,0,73,0,0,0,NA
9185,1970,7,0,0,0,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9185,1970,8,0,30,6,0,0,0,0,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,39,0,0,0
9185,1970,9,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
9185,1970,10,0,0,0,0,0,0,0,0,160,-3,7,40,0,0,0,0,0,0,0,130,0,0,0,0,0,0,0,0,0,0,0
9185,1970,11,0,0,0,0,0,0,0,140,0,0,0,85,0,40,37,0,48,0,7,24,0,0,0,37,0,0,6,47,50,0,NA
9185,1970,12,0,0,0,0,0,0,0,100,0,87,143,0,40,0,0,0,0,0,0,0,0,0,0,0,-3,0,30,20,10,150,100
9185,1971,1,0,50,0,0,20,20,0,0,0,0,-3,0,0,92,0,0,46,60,0,101,-3,22,81,23,0,42,0,7,0,24,0
9185,1971,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,120,0,0,21,0,0,0,-3,0,0,0,0,0,31,NA,NA,NA
9185,1971,3,0,0,0,0,0,0,0,20,0,0,0,120,0,0,0,-3,210,63,12,17,210,14,0,0,0,2,101,0,0,31,22
9185,1971,4,0,43,3,0,0,123,0,105,67,0,0,0,0,0,14,0,0,0,0,0,22,296,42,0,0,0,0,52,0,50,NA
9185,1971,5,0,0,0,0,58,0,97,46,0,0,0,20,240,33,76,115,0,80,0,30,100,20,0,90,80,100,74,56,-3,-3,0
9185,1971,6,0,28,92,0,-3,0,140,103,17,0,0,0,167,14,-3,6,142,0,0,0,0,17,0,26,0,0,0,0,0,0,NA
9185,1971,7,0,46,0,124,0,0,0,0,-3,0,0,0,0,0,0,0,43,0,-3,0,0,0,0,-3,0,0,23,54,0,0,0
9185,1971,8,0,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,57,0,0,0,0,-3,0,0
9185,1971,9,0,0,0,0,0,0,0,376,0,0,0,0,0,0,0,0,0,0,76,9,0,0,334,0,0,0,0,0,0,0,NA
9185,1971,10,0,0,0,0,0,0,0,0,0,0,98,33,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9185,1971,11,0,0,0,0,63,124,0,78,0,0,0,0,0,0,0,200,0,0,0,0,0,146,0,0,0,0,50,0,42,30,NA
9185,1971,12,0,34,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,12,3,22,110,6,120,0,0
9185,1972,1,143,23,0,0,0,0,0,154,21,3,34,6,0,44,68,144,0,45,32,26,66,0,0,36,46,27,28,44,0,20,152
9185,1972,2,78,26,223,52,163,62,4,0,56,32,123,0,0,0,0,67,34,0,0,0,0,-3,58,0,0,6,0,0,-3,NA,NA
9185,1972,3,63,25,40,72,24,9,0,0,0,0,0,23,13,158,207,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0
9185,1972,4,0,0,0,127,33,0,23,0,0,0,0,0,0,0,0,0,8,54,46,34,42,64,0,0,0,82,0,0,0,54,NA
9185,1972,5,54,43,63,43,0,-3,-3,0,0,0,0,34,116,147,134,0,0,0,0,0,0,22,0,0,0,0,0,0,0,102,0
9185,1972,6,0,0,0,0,43,0,0,0,0,0,0,0,263,122,0,0,0,0,52,23,0,0,0,0,45,7,0,63,0,0,NA
9185,1972,7,0,0,0,45,186,0,0,0,0,0,0,0,0,0,0,0,164,143,156,0,0,0,0,53,204,67,186,0,0,0,0
9185,1972,8,0,0,0,0,0,0,0,0,0,0,0,0,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43
9185,1972,9,22,0,43,0,0,22,42,0,0,0,0,0,0,67,0,0,0,0,0,570,840,250,0,0,0,0,0,0,0,0,NA
9185,1972,10,22,217,0,72,74,0,0,0,0,0,22,176,77,0,0,0,0,0,0,0,0,0,0,0,-3,132,0,0,0,0,22
9185,1972,11,0,157,27,0,0,0,230,64,0,0,0,0,0,0,0,0,0,46,34,0,0,76,0,0,0,0,0,78,97,88,NA
9185,1972,12,0,0,0,0,0,0,88,96,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,41,40,53,0,62
9185,1973,1,0,0,0,0,0,0,0,0,0,0,0,0,78,22,0,144,76,0,33,0,88,74,44,0,0,0,0,0,0,0,84
9185,1973,2,0,0,0,0,0,0,0,0,0,0,0,88,0,0,120,96,44,0,80,0,0,43,0,55,154,195,0,0,NA,NA,NA
9185,1973,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,-3,0,0,42,0,34,288,0,0,0
9185,1973,4,0,0,0,0,0,0,0,120,80,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,64,0,35,NA
9185,1973,5,35,13,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,140,42,120,0,0,0,0,0,0,0,0,0,180
9185,1973,6,20,0,134,87,380,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,NA
9185,1973,7,0,0,0,0,0,0,0,240,30,0,0,0,0,43,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223
9185,1973,8,0,33,0,0,0,0,0,0,0,86,0,0,0,0,32,54,0,0,178,0,0,0,0,23,0,0,0,0,0,0,0
9185,1973,9,0,0,0,0,0,0,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,24,NA
9185,1973,10,0,0,0,0,0,0,0,0,0,0,0,125,12,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98
9185,1973,11,0,22,12,54,292,0,0,0,0,0,133,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,NA
9185,1973,12,34,0,0,22,0,0,43,0,0,0,16,58,0,0,0,0,0,0,521,0,0,20,60,102,277,64,28,0,0,0,0
9185,1974,1,0,0,20,0,240,20,15,120,332,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,34,0,0,43
9185,1974,2,0,220,0,0,0,20,0,0,0,0,86,233,40,0,0,0,167,120,0,0,22,0,0,0,0,0,0,0,NA,NA,NA
9185,1974,3,0,32,70,0,0,0,0,0,0,0,0,0,0,140,20,0,0,0,0,480,110,160,80,60,32,25,20,33,62,20,0
9185,1974,4,0,56,0,0,0,0,0,0,22,86,23,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,132,43,NA
9185,1974,5,0,116,0,0,40,0,25,27,20,0,0,0,0,0,0,0,0,0,115,0,0,0,0,0,178,0,0,0,0,0,0
9185,1974,6,0,0,0,88,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,22,68,242,80,0,0,NA
9185,1974,7,0,0,0,0,122,0,0,0,0,0,0,77,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,34,0
9185,1974,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,430,415,176,12,0,0,0,0,0,0,0,0,0,0
9185,1974,9,0,56,0,0,0,0,0,0,0,0,0,0,52,23,198,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
9185,1974,10,0,23,0,86,45,0,0,0,0,0,0,0,0,0,62,24,163,0,-3,46,273,0,0,0,0,0,0,0,62,22,0
9185,1974,11,0,0,0,58,44,0,0,0,0,0,0,0,0,84,486,52,144,22,0,0,0,34,62,90,0,26,0,0,0,0,NA
9185,1974,12,0,0,0,0,0,0,0,0,0,-3,-3,-3,0,0,0,0,0,0,0,0,0,52,84,0,0,0,0,0,0,0,0
9185,1975,1,0,0,0,0,0,0,0,0,0,0,0,0,-3,42,162,42,0,0,20,0,43,0,0,0,0,0,0,22,0,0,0
9185,1975,2,0,0,0,33,166,152,0,32,43,33,42,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,-3,0,NA,NA,NA
9185,1975,3,0,-3,22,0,33,43,0,0,0,0,33,34,22,0,0,0,22,11,46,102,0,0,0,0,0,0,0,43,128,22,32
9185,1975,4,153,0,0,22,0,46,0,0,34,23,0,0,0,0,0,0,0,587,146,0,0,623,22,0,0,0,0,0,0,-3,NA
9185,1975,5,0,0,0,0,86,0,126,0,33,443,33,0,0,0,0,0,33,22,147,0,0,187,0,0,0,156,375,33,0,124,45
9185,1975,6,0,0,0,0,0,0,0,0,186,44,0,0,35,0,112,80,0,0,0,0,0,0,0,0,22,0,0,0,0,0,NA
9185,1975,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,0,65,0,0,0,0,0,0,0,0
9185,1975,8,0,0,680,0,0,0,0,0,0,0,0,0,0,0,0,14,100,63,0,40,204,15,0,0,0,0,0,0,0,98,0
9185,1975,9,0,0,0,120,83,0,0,0,0,0,0,0,0,44,38,0,0,0,0,0,0,0,0,0,0,0,0,0,89,0,NA
9185,1975,10,0,0,0,0,0,0,0,0,0,0,44,33,0,0,22,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,36
9185,1975,11,24,34,0,0,0,88,0,0,0,0,0,0,0,0,38,383,33,0,0,0,234,0,0,0,0,0,33,0,0,33,NA
9185,1975,12,0,0,22,0,0,0,0,0,0,0,110,44,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9185,1976,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,0,0,8,0,0,0
