INDICATIVO,year,month,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31
2017Y,2015,4,0,0,0,0,0,0,0,0,22,2,2,0,0,0,4,4,6,64,0,0,0,NA,0,4,22,48,26,16,22,0,NA
2017Y,2015,5,0,18,50,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,72,0,0
2017Y,2015,6,0,0,4,0,0,0,0,10,230,270,190,24,34,2,144,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,NA
2017Y,2015,7,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,66,16,0,0,68,0,0,0,0,0,0,0,0,12,34
2017Y,2015,8,0,0,0,0,0,0,10,6,0,0,NA,NA,NA,0,0,14,0,0,0,0,272,2,0,0,0,0,0,0,0,68,14
2017Y,2015,9,158,122,92,22,0,0,0,0,4,0,6,2,18,2,116,12,0,0,0,0,0,0,0,0,0,0,0,0,0,4,NA
2017Y,2015,10,10,0,0,170,50,10,0,0,0,0,14,18,0,0,0,0,24,38,134,0,0,0,0,0,0,32,54,26,2,0,0
2017Y,2015,11,0,294,114,18,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,54,22,16,4,46,8,18,4,2,0,0,NA
2017Y,2015,12,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,2,2,0,16,0,22,2
2017Y,2016,1,88,4,90,156,0,10,44,46,356,534,4,0,2,26,0,2,0,6,NA,0,15,16,0,0,2,0,0,56,26,0,0
2017Y,2016,2,0,0,4,2,0,82,2,10,38,24,84,64,186,42,50,0,0,12,0,0,0,0,0,6,2,100,0,98,6,NA,NA
2017Y,2016,3,0,0,0,34,6,2,34,2,18,100,0,0,0,26,6,0,0,52,84,2,0,0,0,0,20,18,0,66,14,20,32
2017Y,2016,4,0,0,48,116,10,0,4,4,0,56,26,104,0,2,2,72,2,0,74,52,0,222,20,2,0,0,168,0,4,0,NA
2017Y,2016,5,0,0,0,0,6,158,132,130,48,28,12,6,8,0,0,0,6,0,0,0,30,4,0,12,0,0,0,64,6,0,0
2017Y,2016,6,0,0,110,222,0,0,0,0,0,0,0,0,0,0,18,2,16,0,0,0,0,0,0,82,0,0,0,0,NA,NA,NA
2017Y,2016,7,NA,0,0,202,26,74,2,20,0,4,0,0,0,0,0,0,0,0,0,110,0,0,0,0,0,0,0,0,0,0,0
2017Y,2016,8,0,0,0,0,0,0,0,0,4,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0
2017Y,2016,9,0,12,0,0,0,0,0,0,12,0,0,10,52,78,26,0,4,0,0,0,0,0,32,0,0,0,0,0,0,0,NA
2017Y,2016,10,0,0,0,0,0,0,0,0,0,0,0,54,16,0,0,4,2,0,0,0,0,8,100,22,38,0,0,0,0,0,0
2017Y,2016,11,0,0,0,208,146,12,12,10,0,2,0,0,0,0,0,0,0,0,6,234,54,106,20,24,10,172,0,0,2,2,NA
2017Y,2016,12,0,0,50,130,2,2,0,2,2,2,0,0,0,0,12,42,0,0,0,16,2,4,0,0,0,0,0,0,0,0,0
2017Y,2017,1,0,0,0,0,0,0,0,0,14,50,0,2,0,0,16,134,0,0,0,6,0,0,0,0,0,0,64,32,2,4,0
2017Y,2017,2,44,156,276,318,0,0,40,32,0,0,22,72,36,2,0,0,0,0,0,0,0,0,0,0,0,0,0,18,NA,NA,NA
2017Y,2017,3,2,0,82,0,10,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,20,36,12,88,44,16,0,0,0,12
2017Y,2017,4,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,126,2,0,0,44,72,NA
2017Y,2017,5,0,0,0,0,44,0,0,0,94,180,80,176,8,2,0,0,16,108,0,0,0,82,0,0,0,72,0,150,10,10,12
2017Y,2017,6,200,252,10,142,0,0,0,2,0,0,0,0,0,0,0,0,0,0,12,0,0,NA,NA,NA,NA,6,14,10,12,4,NA
2017Y,2017,7,0,0,0,0,8,68,30,432,10,0,0,0,0,0,0,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017Y,2017,8,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,78,0,0,0,64,210,0,44,0
2017Y,2017,9,0,0,2,0,0,0,0,0,16,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
2017Y,2017,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,258,2,0,0,0,0,0,0,0,0,0,0,0,0
2017Y,2017,11,2,0,26,48,12,22,4,12,4,6,0,18,4,0,0,0,0,0,0,0,0,0,0,80,8,0,0,0,2,2,NA
2017Y,2017,12,18,10,0,12,0,0,0,2,12,412,24,0,0,10,4,10,6,8,0,0,0,0,0,0,34,170,32,8,2,0,16
2017Y,2018,1,0,0,0,0,120,0,60,4,2,56,26,8,0,16,0,0,0,0,0,2,2,0,0,0,34,4,12,0,0,0,0
2017Y,2018,2,6,2,4,12,2,0,0,0,12,14,24,4,4,10,0,0,0,8,22,24,4,0,0,0,0,0,0,584,NA,NA,NA
2017Y,2018,3,184,184,80,20,48,40,14,20,168,108,78,12,6,242,32,4,8,8,54,26,0,0,68,0,4,2,0,2,12,18,68
2017Y,2018,4,0,6,68,44,2,204,68,16,42,180,96,52,26,0,118,0,0,0,0,0,0,0,0,0,0,0,0,0,26,2,NA
2017Y,2018,5,0,24,0,0,0,0,92,2,0,0,42,2,4,2,0,0,30,26,0,0,48,2,66,70,62,30,12,8,46,170,50
2017Y,2018,6,108,48,52,18,0,2,10,14,28,36,32,4,0,0,0,0,0,0,0,0,0,0,0,0,0,44,20,260,200,126,NA
2017Y,2018,7,0,0,0,0,0,0,178,116,0,0,16,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0
2017Y,2018,8,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,20,38,0,0
2017Y,2018,9,0,0,0,308,28,0,0,46,0,0,0,0,0,0,0,26,196,92,0,0,0,0,0,0,6,2,0,0,0,0,NA
2017Y,2018,10,0,0,0,0,0,0,10,2,56,14,26,2,0,32,0,0,46,2,60,2,0,0,0,0,0,4,4,4,38,132,30
2017Y,2018,11,50,6,0,102,122,46,12,28,32,106,2,28,0,0,0,4,0,30,12,100,40,66,8,106,44,18,0,0,48,2,NA
2017Y,2018,12,0,0,0,2,0,0,0,0,0,0,0,4,38,0,148,76,0,16,6,0,0,2,0,0,0,0,0,0,0,0,0
2017Y,2019,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,56,30,74,212,96,2,0,2,12,20,46,232
2017Y,2019,2,40,0,30,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
2017Y,2019,3,0,0,0,0,0,166,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,42
2017Y,2019,4,12,54,4,0,16,16,36,4,18,2,2,0,0,0,10,0,88,334,10,4,2,0,34,380,50,2,0,0,0,0,NA
2017Y,2019,5,4,0,10,0,0,0,12,14,42,6,0,0,0,0,0,156,10,2,0,0,0,0,62,0,0,0,0,0,0,0,0
2017Y,2019,6,0,0,0,74,18,20,0,6,0,14,6,0,0,0,0,0,0,0,0,80,4,0,0,0,0,0,0,0,0,0,NA
2017Y,2019,7,8,0,34,0,0,0,28,182,10,0,0,0,74,0,0,26,100,0,4,0,80,0,0,0,16,24,74,0,0,0,0
2017Y,2019,8,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,38,0,24,0,0,0,0,106,8,0,0,0,8
2017Y,2019,9,4,0,0,0,0,0,0,0,12,84,0,0,8,12,286,62,294,8,0,198,18,0,0,0,0,0,0,0,0,0,NA
2017Y,2019,10,0,0,0,0,0,0,0,0,0,0,0,28,0,48,0,0,98,2,114,8,2,88,96,0,0,0,0,0,0,0,0
2017Y,2019,11,20,84,8,78,44,8,6,32,60,82,30,94,58,22,24,0,32,2,0,30,20,218,2,2,0,102,68,8,8,190,NA
2017Y,2019,12,4,0,0,0,0,0,2,20,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9158A,1996,11,0,0,72,-3,0,0,0,0,0,72,14,5,0,7,100,80,80,71,2,21,69,51,20,0,111,5,161,58,38,10,NA
9158A,1996,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9158A,1997,1,0,33,20,0,80,20,27,98,98,10,0,0,7,0,-3,6,30,50,50,61,0,87,25,4,0,0,0,0,0,0,-3
9158A,1997,2,0,34,4,0,0,0,0,0,0,0,0,0,0,0,10,22,0,0,0,0,0,0,5,0,0,0,0,0,NA,NA,NA
9158A,1997,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,-3,0,0,0,0,0
9158A,1997,4,0,0,0,0,0,0,0,-3,0,0,0,0,0,0,0,0,0,210,230,250,0,0,0,0,0,9,9,0,2,0,NA
9158A,1997,5,0,0,0,61,25,60,30,0,0,0,0,7,200,49,3,50,40,16,13,0,0,0,0,0,-3,0,0,12,130,150,160
9158A,1997,6,178,80,45,173,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,-3,0,203,130,2,NA
9158A,1997,7,38,70,-3,46,0,0,0,172,43,18,0,0,-3,0,0,110,-3,0,0,0,105,93,25,0,0,0,0,85,0,0,0
9158A,1997,8,0,0,8,0,69,0,0,-3,0,10,0,0,0,0,80,0,85,0,0,122,0,0,0,122,433,0,40,-3,0,0,0
9158A,1997,9,220,0,0,0,0,-3,0,0,0,0,0,0,45,0,0,0,0,0,0,6,0,0,0,0,0,8,0,0,0,0,NA
9158A,1997,10,0,0,0,0,0,31,0,0,0,0,0,16,37,2,0,0,0,0,0,-3,12,215,0,0,6,0,143,-3,0,0,0
9158A,1997,11,0,0,7,10,217,95,50,69,0,90,4,0,35,0,0,0,0,-3,15,5,146,0,0,-3,4,2,-3,30,250,200,NA
9158A,1997,12,145,68,-3,0,0,0,0,0,0,0,70,-3,0,0,-3,220,170,-3,5,0,5,88,0,0,10,10,0,0,-3,15,68
9158A,1998,1,0,0,0,0,0,0,0,0,0,0,0,18,-3,0,10,-3,0,-3,25,30,0,0,10,20,20,40,0,6,7,5,-3
9158A,1998,2,-3,58,-3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,27,28,0,0,0,0,0,NA,NA,NA
9158A,1998,3,0,0,0,0,-3,0,0,67,55,32,228,90,-3,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,40,-3,10
9158A,1998,4,2,0,14,0,0,42,0,0,25,40,15,-3,10,0,28,17,34,0,0,7,0,50,0,0,0,60,37,10,81,48,NA
9158A,1998,5,48,48,48,23,0,0,0,0,-3,0,119,5,42,25,0,0,0,0,154,-3,-3,0,0,0,0,8,42,-3,23,30,40
9158A,1998,6,19,0,13,71,30,0,6,0,0,-3,0,0,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145,230,NA
9158A,1998,7,84,0,0,0,0,0,-3,0,0,0,0,0,71,-3,0,0,0,185,0,0,0,0,0,0,0,0,0,0,0,0,20
9158A,1998,8,0,21,0,0,0,0,0,0,0,0,-3,0,0,0,8,0,30,0,0,0,0,0,0,0,0,19,0,0,0,0,0
9158A,1998,9,7,0,0,0,4,0,-3,0,0,0,0,-4,130,0,0,0,0,0,0,0,0,43,60,17,0,44,44,-3,40,-3,NA
9158A,1998,10,-3,0,0,105,18,10,120,136,60,36,1,0,0,0,0,-3,20,79,24,0,0,0,0,0,34,0,0,0,0,0,0
9158A,1998,11,0,-3,73,NA,0,0,0,0,-3,3,3,11,-3,0,0,0,0,0,0,0,0,0,20,10,180,55,0,30,270,65,NA
9158A,1998,12,10,0,-3,0,0,-3,0,0,-3,51,-3,0,0,0,0,0,0,0,0,165,15,0,0,0,0,0,0,0,-3,43,0
9158A,1999,1,40,0,0,0,0,0,0,-3,385,100,0,-3,0,0,0,0,110,0,0,0,0,0,0,0,0,22,22,-3,0,0,5
9158A,1999,2,0,0,-3,0,0,0,35,-3,80,80,140,22,0,0,4,10,10,-3,0,0,5,-3,10,130,38,0,50,0,NA,NA,NA
9158A,1999,3,0,0,50,-3,45,10,0,-3,0,0,20,0,30,20,25,0,0,0,0,0,0,-3,0,-3,31,100,70,5,0,0,0
9158A,1999,4,0,0,0,0,0,0,0,10,0,0,0,56,0,42,20,30,59,0,0,0,15,0,0,0,44,0,10,30,10,0,NA
9158A,1999,5,34,100,28,0,0,15,13,20,0,0,0,0,0,60,30,28,5,39,21,5,0,0,0,0,0,0,5,0,0,0,0
9158A,1999,6,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,125,0,0,0,0,0,55,-3,85,0,0,0,0,0,NA
9158A,1999,7,0,-3,0,-3,-3,-3,0,0,0,0,230,29,6,0,0,0,0,0,-3,0,0,0,0,0,49,370,-3,6,0,0,90
9158A,1999,8,0,10,0,100,0,20,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,-3,0,0,0,0,0,0
9158A,1999,9,0,0,0,0,-3,75,0,0,0,0,0,165,125,3,0,-3,0,0,85,0,0,-3,0,37,0,0,-3,0,25,0,NA
9158A,1999,10,0,0,-3,0,0,0,2,0,0,0,0,73,1,0,0,0,27,0,-3,36,77,-4,-4,138,0,55,10,0,-3,0,0
9158A,1999,11,-3,60,0,0,-4,13,0,0,0,-3,0,-4,-4,400,11,48,112,44,-4,-4,200,-3,0,0,0,0,0,0,0,0,NA
9158A,1999,12,0,0,0,0,0,0,0,0,20,5,0,0,-3,120,264,84,0,0,46,0,0,0,0,0,0,0,-3,-3,0,0,0
9158A,2000,1,0,0,0,0,0,0,0,0,81,0,0,0,-3,64,60,0,0,0,0,0,0,18,3,0,0,0,0,0,0,0,0
