"MpNo","DateTime","Epoch","H2O_c","d18O_c","dD_c","H2O_a","d18O_a","dD_a","Dex_c","Dex_a","Dex_WV","E"
1,2018-09-04 01:41:00,1536018060.52,15754.9376190476,-18.3337985347985,-139.66156043956,15825.4889867725,-17.4213994510108,-132.911285104169,7.00882783882784,6.45991050391783,-116.11968856563,-0.0169418148042638
1,2018-09-08 19:09:00,1536426540.712,16917.7213260073,-18.6954065934066,-102.720857142857,16005.6738012925,-18.6234877012483,-117.232396698915,46.8423956043956,31.755504911071,311.604751259738,0.218577939596194
1,2018-09-06 10:46:00,1536223560.332,17354.6957216117,-16.3607289377289,-74.4034249084249,12956.4302431629,-16.7640839833979,-111.605366875271,56.4824065934066,22.5073049919126,156.566413814222,1.05407159158572
1,2018-09-08 07:46:00,1536385560.708,15148.5464249084,-16.8684871794872,-122.16795970696,13864.9985749747,-18.3937274399313,-135.424600242473,12.7799377289377,11.7252192769768,24.1731006984317,0.308224260617598
1,2018-09-07 18:00:00,1536336000.511,17775.8941282051,-16.5915897435897,-39.102641025641,14079.3758681818,-17.2682176728575,-109.103374079202,93.6300769230769,29.0423673036585,339.633092796464,0.886775510337235
1,2018-09-08 01:46:00,1536363960.058,9927.22933699634,-18.3662417582418,-148.093465201465,12329.7227385606,-18.2006448135807,-138.098182437164,-1.16353113553112,7.5069760714818,43.3339687516926,-0.576350198768073
1,2018-09-08 01:09:00,1536361740.283,10404.30303663,-18.2887985347985,-148.386402930403,12381.6282899422,-18.1403022999367,-136.482293255654,-2.07601465201466,8.64012514383964,65.0263800769604,-0.474353543839019
1,2018-09-07 22:09:00,1536350940.828,12415.6421814815,-17.6136481481481,-133.064925925926,13244.0595041629,-17.6980141620842,-121.988778688782,7.84425925925925,19.5953346078916,195.710853660552,-0.198734073589477
1,2018-09-05 22:47:00,1536180420.535,11838.7766007326,-16.8650989010989,-115.788813186813,12235.1902787628,-16.3421288458037,-111.453208326322,19.131978021978,19.2838224401077,23.8186108289406,-0.0949090828829974
1,2018-09-03 21:27:00,1536002820.576,15866.7116190476,-17.4982893772894,-131.324494505494,15728.975542398,-17.1613405043289,-128.485023426982,8.66182051282053,8.80570060764916,-7.76878029741638,0.033075175108367
1,2018-09-07 03:00:00,1536282000.478,11053.4169304029,-17.3877032967033,-140.736168498168,11837.1940567317,-17.3419827686796,-128.136857063582,-1.63454212454212,10.5990050858543,183.125726409892,-0.188025321325525
1,2018-09-08 12:00:00,1536400800.818,21465.2076444444,-17.0374,-77.3523296296296,15481.7814059046,-18.2229616344097,-120.658933866122,58.9468703703704,25.1247592091553,146.459695098017,1.43395930145973
2,2018-09-05 03:04:00,1536109440.237,12149.4146703297,-17.3801135531136,-137.799234432234,14152.0325780702,-17.2671083945743,-135.26403557064,1.24167399267398,2.87283158595469,12.7686833691754,-0.632388928555746
2,2018-09-04 06:04:00,1536033840.632,12568.9953333333,-18.480282051282,-146.67032967033,16109.1187959408,-17.2308800544387,-131.744661790558,1.17192673992673,6.10237864495195,23.6076514525399,-1.12124736773048
2,2018-09-04 16:50:00,1536072600.616,19810.5568278388,-15.2459157509158,-86.9151135531136,17561.7543211983,-16.0597525833543,-117.702202050783,35.0522124542125,10.775818616051,224.635807781726,0.711538526304497
