"MpNo";"DT";"MpNo_m";"CO2in_G";"CO2out_G";"H2Oin_G";"H2Oout_G";"ATP";"Tref";"Tcuv";"FlowOut";"FlowIn";"PAR";"H2O_P";"mH2O_P";"dDH_out";"d18O_out";"dDH_in";"d18O_in";"ShootID";"Area";"hour";"day";"month";"TrA";"dDH_ex";"dH2O";"dDH_ex_a"
1;2018-09-04 18:27:00;"1S";387.3;383.11;15.5;15.73;1005;17.2;17.4;533.824226732304;542.062221620836;21;19877.2005592417;19.8772005592417;-90.0414322681157;-15.0493958957113;-114.159857922783;-15.7974937417262;101;2211.444;18;4;9;0.0552430153739408;30.3537348975747;1252.40358159973;12.2200920110266
1;2018-09-05 08:50:00;"1S";396.3;353.7;11.8;12.51;1006;13.9;14.1;547.512027417748;553.61935832105;109;15948.376492891;15.948376492891;-123.07827594874;-16.028354650836;-133.781835522111;-16.393799040566;101;2211.444;8;5;9;0.17473220641083;5.148561257948;134.450043758323;-2.631443197583
1;2018-09-05 11:50:00;"1S";382.9;349.4;8.8;13.63;1006;18;18.1;547.512027417748;549.691753399344;355;17638.793971564;17.638793971564;-85.2518054794813;-16.3027658207947;-104.404425421417;-16.7020458776372;101;2211.444;11;5;9;1.18867477304768;45.1703210868763;74.2456294693446;29.2119415996806
1;2018-09-05 12:27:00;"1S";383;345.2;9.14;14.08;1006;18.6;18.7;547.512027417748;549.818821265584;170;18125.0265829384;18.1250265829384;-65.9976787359882;-15.6542319149504;-105.663841146766;-16.4780842582243;101;2211.444;12;5;9;1.21574562781363;59.236176583615;120.432257776797;26.1608329190284
1;2018-09-05 13:09:00;"1S";381;316.2;9.1;15.01;1006;19.1;19.3;547.512027417748;549.264021968317;470;19452.7843364929;19.4527843364929;-47.7292674746316;-15.8635642523209;-112.570457268939;-17.3649663837234;101;2211.444;13;5;9;1.45446496918693;79.1792465439356;160.524889853935;26.3492738008482
1;2018-09-05 13:47:00;"1S";381.5;313;9.3;15.35;1006;19.6;19.8;547.512027417748;549.297333015327;1452;19375.9062701422;19.3759062701422;-51.1267782088048;-15.8242210493809;-102.457031868329;-16.6822330531418;101;2211.444;13;5;9;1.48891900231173;75.4669901862424;143.819926707526;31.0008325568054
1;2018-09-05 14:24:00;"1S";381.4;306.2;9.3;14.93;1005;19.3;19.4;547.512027417748;549.53007415936;1352;19496.690647619;19.496690647619;-43.8521240482533;-16.5176874684484;-102.384326407694;-17.1777856796637;101;2211.444;14;5;9;1.38693469296709;88.2893756993339;176.253527569384;35.0379590296156
1;2018-09-05 15:01:00;"1S";382.6;343.4;9.58;16.72;1005;19.5;19.6;547.512027417748;548.85410347298;221;20750.4768293839;20.7504768293839;-33.087173875482;-14.3252896315576;-98.1267634654923;-16.6541257856144;101;2211.444;15;5;9;1.75891846092351;81.5151431769788;143.783667746361;35.1062428194229
1;2018-09-05 16:10:00;"1S";381.8;314.3;9.89;14.1;1005;19.2;19.3;547.512027417748;550.637177718451;985;19226.5414407583;19.2265414407583;-55.977703899608;-16.4902640687329;-81.4347867806277;-15.0645673526077;101;2211.444;16;5;9;1.03712106791338;75.9444086502552;162.541005769759;39.0817520402339
1;2018-09-05 16:47:00;"1S";382.2;348.7;10.4;17;1005;18.6;18.7;547.512027417748;549.60386906684;156;21741.6137109005;21.7416137109005;-7.49241038715569;-13.9501560180833;-77.7407692969146;-13.5253582859918;101;2211.444;16;5;9;1.62588968105564;104.108837757511;220.158247450163;30.4620969910198
1;2018-09-05 17:24:00;"1S";381.5;345.9;10;14.09;1005;17.7;17.8;540.668127075026;543.879532734335;369;18021.5061374408;18.0215061374408;-0.327141558181908;-13.7033693737332;-82.9640789029524;-15.29859018074;101;2211.444;17;5;9;0.994964820046514;109.299813431684;280.143752034902;39.4246425429676
1;2018-09-05 18:01:00;"1S";381.7;360.1;10;13.13;1005;17.5;17.6;540.668127075026;544.401182384579;95;16885.9019099526;16.8859019099526;-11.2468175801285;-15.452380739925;-86.9077817968153;-15.4808368425925;101;2211.444;18;5;9;0.761427845170071;112.372228339271;353.373235992137;36.9389129439247
1;2018-09-05 19:10:00;"1S";382.2;372.62;10.4;11.84;1006;15;15.1;540.668127075026;545.533922995669;44;15212.7997345972;15.2127997345972;-59.1810739476389;-16.2171900736144;-86.3384745594794;-16.1023175654769;101;2211.444;19;5;9;0.349957106165044;70.5564466412763;273.330307085847;42.4800659643358
1;2018-09-05 19:47:00;"1S";387.7;383.35;10.7;11.15;1006;12.6;12.5;540.668127075026;546.236145062084;18;13943.4237251185;13.9434237251185;-57.3947939746518;-15.4637505144851;-95.3434903405318;-14.6501351467926;101;2211.444;19;5;9;0.109361562867757;66.315210141229;1123.4186025621;21.857590833809
1;2018-09-06 07:46:00;"1S";417.9;396.7;10.5;10.75;1005;10.3;10.6;547.512027417748;553.155062391133;106;13570.4553857143;13.5704553857143;-115.016158277278;-15.6341746619041;-129.918582067127;-16.2906318595363;101;2211.444;7;6;9;0.0615867241842793;10.0572390179548;415.389419787193;0.406472809163404
1;2018-09-06 08:23:00;"1S";421.1;395;10.6;11.01;1005;11.1;11.3;547.512027417748;553.12259415084;142;14072.9107630332;14.0729107630332;-102.040659829327;-15.0951310018591;-127.783112503484;-16.3037284053813;101;2211.444;8;6;9;0.10100221756189;18.7203881855458;434.283652886477;2.64671473956639
1;2018-09-06 09:00:00;"1S";412.7;375.8;10.9;11.44;1005;11.8;12;547.512027417748;553.217916768968;232;14574.0875023697;14.5740875023697;-94.765589054114;-15.4360259851838;-125.109518650669;-16.4460991222863;101;2211.444;9;6;9;0.133027271026555;28.7226188273564;478.112350396082;6.45927432762139
1;2018-09-06 10:09:00;"1S";394;329.3;11.1;12.86;1005;14.2;14.2;547.512027417748;552.657175155027;642;16325.3298625592;16.3253298625592;-98.8961722620728;-16.4704487103226;-116.336037331104;-16.6006386404774;101;2211.444;10;6;9;0.433570278112274;32.867417420508;136.28880177761;16.4690717927152
1;2018-09-06 10:46:00;"1S";383.5;319;11;14.01;1005;14.9;14.8;547.512027417748;551.913054680391;669;17354.6096113744;17.3546096113744;-74.4204121763577;-16.2781709223397;-120.000074401319;-17.2055822263984;101;2211.444;10;6;9;0.741503788422755;55.8049552023599;195.261463414124;17.6445834098682
1;2018-09-06 13:09:00;"1S";375.9;303.7;9.8;13.67;1005;18.3;18.3;540.668127075026;543.889752872408;844;17937.2719571429;17.9372719571429;-71.5814230088371;-17.0566322088031;-98.1464975841741;-17.1315413714105;101;2211.444;13;6;9;0.941446118261731;64.8716346615877;130.624826519438;38.9058333871099
1;2018-09-06 13:46:00;"1S";376.1;308.2;9.62;15.63;1005;19.4;19.5;540.668127075026;542.628998238542;1444;20000.3608625592;20.0003608625592;-41.958242475977;-16.2712088476423;-99.9570052268212;-17.0408249308509;101;2211.444;13;6;9;1.46203932537969;88.2114283051614;171.192866557971;36.369594219986
1;2018-09-06 14:23:00;"1S";376.5;297.1;9.2;15.08;1004;19.3;19.3;540.668127075026;542.472528142465;1240;19485.4451232227;19.4854451232227;-31.8521173116183;-16.5993329553425;-100.569901133339;-17.7229569817011;101;2211.444;14;6;9;1.4318398317113;100.942546331122;194.39575769504;41.2137547202698
1;2018-09-06 15:00:00;"1S";376.9;325.1;9.4;15.19;1004;18.6;18.6;533.824226732304;535.761795059776;348;19036.7094739336;19.0367094739337;-23.791193355285;-15.5557640101419;-98.5816275080821;-17.2458267988858;101;2211.444;15;6;9;1.39207649932568;100.65491872585;200.125965241006;39.3849868830043
1;2018-09-06 16:09:00;"1S";373.4;326.3;10.4;14.1;1004;18.2;18.2;533.824226732304;537.423886876332;363;18201.2308720379;18.2012308720379;-50.6949496067936;-15.9765310758808;-85.2685610309565;-15.8351541069161;101;2211.444;16;6;9;0.889581674745;77.1172990002528;177.476251062187;41.4126718243723
1;2018-09-06 16:46:00;"1S";371.1;327.2;10.17;14;1004;18;18;533.824226732304;537.229684001135;293;18000.3781469194;18.0003781469194;-22.9793650121702;-15.3360130538642;-85.0964645537182;-14.4715476899351;101;2211.444;16;6;9;0.920837458895675;99.7087394187434;283.015215749504;30.6759169657626
1;2018-09-06 17:23:00;"1S";373.2;335.6;9.4;13.42;1004;17.7;17.8;533.824226732304;536.711793935018;236;17153.7456161137;17.1537456161137;-19.1103518431656;-15.8187808391919;-89.7133600101491;-16.1228210672832;101;2211.444;17;6;9;0.966519434764979;107.43989487037;266.843987312454;39.2692085281165
1;2018-09-06 18:00:00;"1S";376;355.1;9.6;12.67;1004;16.7;16.8;533.824226732304;537.329729749764;113;16435.0032464455;16.4350032464455;-20.2237981193014;-16.019238618536;-91.9329990527876;-16.3102547392008;101;2211.444;18;6;9;0.738112953054721;107.930110828987;324.887208840195;38.5490388608188
1;2018-09-06 19:09:00;"1S";377.5;368.69;11.2;12.19;1004;14.5;14.5;533.824226732304;539.314099168783;39;15450.9644028436;15.4509644028436;-65.7782811768779;-16.2323489392765;-93.3949869101574;-16.5074517426473;101;2211.444;19;6;9;0.238023014443658;64.0805103373341;351.613735620876;38.664627031021
1;2018-09-07 07:46:00;"1S";459;414.6;8.57;8.78;1004;7.3;7.4;554.355927760469;559.011619829301;231;11210.1862274882;11.2101862274882;-126.08914435928;-16.8287124623016;-135.077952093945;-17.2859300520565;101;2211.444;7;7;9;0.0524317809385505;8.54055533913279;226.098861684291;3.20948832250701
1;2018-09-07 10:09:00;"1S";414.9;360.2;11.9;13.94;1004;15.6;15.6;547.512027417748;552.953483511225;453;17721.5777061611;17.7215777061611;-101.105294135718;-16.3297230851458;-121.971253584685;-16.6617068405147;101;2211.444;10;7;9;0.50304751055622;29.5324905454484;135.758012080541;11.3224011394326
1;2018-09-07 10:46:00;"1S";394.7;337.9;11.8;15.12;1004;17.7;17.6;547.512027417748;552.191428740568;525;19343.1797962085;19.3431797962085;-71.3948897006841;-15.5804522110437;-119.345113326686;-17.111542925753;101;2211.444;10;7;9;0.818685246108045;53.2487279876655;180.139594047384;17.547230079338
1;2018-09-07 11:23:00;"1S";383.8;349;11.03;15.16;1004;18.5;18.4;547.512027417748;551.316606598571;1092;19436.2197677725;19.4362197677725;-58.3231787934262;-15.595037238314;-115.085319399816;-17.5004477041228;101;2211.444;11;7;9;1.01842550299937;66.4371191130858;177.321620659214;24.9182622331664
1;2018-09-07 12:00:00;"1S";382.4;346.9;10.9;14.81;1004;17.8;17.6;540.668127075026;544.473655428922;194;18899.5831232228;18.8995831232228;-53.3841592174413;-16.3689886388642;-111.968834164406;-17.8848561631953;101;2211.444;12;7;9;0.952123167425892;77.5677498934723;207.079082067448;31.1100151411564
1;2018-09-07 13:09:00;"1S";379.6;313.6;11.19;15.78;1004;19.8;19.8;540.668127075026;544.26237938785;804;20422.1266966825;20.4221266966825;-70.619785098675;-17.1942530407108;-97.0619821892594;-17.0931162126754;101;2211.444;13;7;9;1.11770948109971;66.9342392270114;133.37039484561;39.6829475121438
1;2018-09-07 13:46:00;"1S";379;312.4;11.4;16.76;1004;20.4;20.4;540.668127075026;543.958108424545;1398;21693.2488246446;21.6932488246445;-42.6305926619195;-16.1383312679342;-93.6416870155416;-16.0421763351149;101;2211.444;13;7;9;1.30521166897311;86.4760574815541;196.605871941332;34.6957236653776
1;2018-09-07 14:23:00;"1S";379.3;301.9;11.9;17.14;1004;20.8;20.9;540.668127075026;544.297650032711;1112;21935.0134739336;21.9350134739337;-35.3668179080154;-16.9635022888937;-98.1142019869846;-17.3051221486607;101;2211.444;14;7;9;1.27598987420253;100.341200403134;236.633501908843;40.326775202301
1;2018-09-07 15:00:00;"1S";377;328.4;12;17.88;1004;19.9;19.9;533.824226732304;537.117577808515;214;22955.3217630332;22.9553217630332;-29.3344199797426;-14.8092391950593;-97.8296065717888;-17.1694234670007;101;2211.444;15;7;9;1.41371131844031;89.1394935807318;190.39196790015;39.5257811642168
1;2018-09-07 16:09:00;"1S";376.3;310.8;12.4;15.81;1004;20.2;20.3;533.824226732304;538.663960292533;938;20689.3979241706;20.6893979241706;-60.89178398599;-17.3365619132783;-93.1857703045504;-16.5823324600069;101;2211.444;16;7;9;0.8198560659109;77.8007113202364;217.174609301079;39.4728893755048
1;2018-09-07 16:46:00;"1S";377.1;345.6;12.1;17.59;1004;19.1;19.1;533.824226732304;537.381619754484;181;22924.0554028436;22.9240554028436;-26.0344242749596;-15.3960515636085;-87.9965552973462;-15.2145335659634;101;2211.444;16;7;9;1.31994461940485;97.1339882339084;236.899512376517;33.719713230361
1;2018-09-07 17:23:00;"1S";377.5;341.1;11.8;16.5;1004;18.1;18.1;533.824226732304;537.644174333392;139;20625.0452748815;20.6250452748815;-20.5649226468811;-13.8811212899487;-94.0944792507293;-16.666634230153;101;2211.444;17;7;9;1.13000757237654;90.4840476727085;219.142844772735;39.2385945904947
1;2018-09-07 18:00:00;"1S";378.3;359;12;14.08;1004;17.7;17.8;533.824226732304;539.162468999627;104;17775.8941042654;17.7758941042654;-38.0086379565965;-16.5088871096273;-98.6372971732656;-17.0187933495758;101;2211.444;18;7;9;0.500088357543512;94.0624589204219;420.309051018966;37.5130496233408
1;2018-09-07 19:09:00;"1S";383.2;375.36;11.9;12.68;1004;15.1;15.2;533.824226732304;539.80762094787;35;15982.9516540284;15.9829516540284;-87.3529831425747;-17.6900941221135;-105.606187862241;-17.845036987054;101;2211.444;19;7;9;0.187533152832355;54.1677698343333;313.73517422112;37.154108034191
1;2018-09-08 11:23:00;"1S";386.8;336.3;14.4;16.56;1004;17.4;17.4;540.668127075026;547.355453141515;349;21137.8388095238;21.1378388095238;-79.7543620398729;-16.9361158527095;-120.443270133783;-18.6253135036512;101;2211.444;11;8;9;0.525979243864532;55.7345647818031;236.90341069098;28.5592378954266
1;2018-09-08 12:00:00;"1S";385.7;329.9;14;16.87;1005;18.2;18.1;540.668127075026;546.740413910893;437;21464.9228238095;21.4649228238095;-77.6941601509007;-16.9645658362551;-119.092871154988;-18.449755657947;101;2211.444;12;8;9;0.698175455066782;58.0223665391401;202.008671078419;28.505174108588
1;2018-09-08 13:09:00;"1S";382.9;323.7;14.2;16.95;1005;18.8;18.7;533.824226732304;539.993269320197;428;21900.2361090047;21.9002361090047;-94.8665118715878;-17.6675870456263;-114.682070580923;-18.128662974046;101;2211.444;13;8;9;0.660515172935555;46.4741844934226;129.747896567634;30.347233211445
1;2018-09-08 13:46:00;"1S";381.1;307.2;14.2;18.24;1004;21.1;21.4;533.824226732304;539.303772240083;1526;22631.9430900474;22.6319430900474;-75.5668705927982;-17.2471322766991;-113.418796432927;-17.7644252893783;101;2211.444;13;8;9;0.971323326748621;62.4101876207946;180.908420464723;28.6966058820994
1;2018-09-08 14:23:00;"1S";381.2;306.3;12.8;17.44;1004;20.4;20.5;533.824226732304;538.218905596444;1309;22099.8395450237;22.0998395450237;-70.7275311523485;-18.8283773756239;-115.108251064623;-18.6725632572501;101;2211.444;14;8;9;1.1155808281979;79.8994878526427;205.767716429925;34.2722549933778
1;2018-09-08 15:00:00;"1S";380.4;330.1;12.9;19.02;1004;20.7;20.8;533.824226732304;537.476056272456;298;24006.1121137441;24.0061121137441;-63.5379637487602;-17.5014891312387;-113.491164559535;-18.6755830581963;101;2211.444;15;8;9;1.47141249694547;76.4739493011494;161.969014202615;35.9134999060354
